	Brand
0	Reprise Records
1	Oyster
2	Polydor
3	Atlantic
4	Music On Vinyl
5	Cotillion
6	Domino
7	Warner Records
8	Machine Shop Recordings
9	Columbia
10	American Recordings
11	Parlophone
12	Sony Music
13	Interscope Records
14	Magnet
15	Top Dawg Entertainment
16	Aftermath Entertainment
17	World Music Network
18	Music Rough Guides
19	Dunham
20	Daptone Records
21	Wagram Music
22	Universal Music Group International
23	UMe
24	Capitol Records
25	Dualtone
26	Blue Note
27	Polar
28	A&amp;M Records
29	AML
30	604 Records
31	School Boy Records
32	pgLang
33	Dirty Hits
34	XL Recordings
35	Fantasy
36	Luminelle Recordings
37	Def Jam Recordings
38	City Slang
39	Epic
40	Mute
41	Global Underground
42	Elektra
43	WSM
44	WaxTime
45	Island Records
46	Arista
47	Fiction Records
48	Universal Music Catalogue
49	Goofin' Records
50	Spectrum Music
51	Roc Nation
52	Silvertone Records
53	RCA
54	Legacy
55	Union Square Music
56	Metro Tins
57	Transgressive Records
58	Apple Records
59	Fonograf Records
60	Jazz Wax Records
61	[PIAS] Recordings
62	Startime International
63	DSP
64	Grand Hustle
65	OM-Ermitage
66	Gia Định Audio
67	Fueled By Ramen
68	RCA Victor
69	Polyvinyl Record Company
70	Air Records
71	BMG
72	EMI Classics
73	Second Records
74	Keen
75	ABKCO
76	All Round Trading
77	AWAL Recordings Ltd
78	Roche Musique
79	Mom + Pop
80	Parkwood Entertainment
81	Decca
82	Universal Music
83	Chess
84	Geffen Records
85	Elemental Music
86	Universal Music Special Markets
87	Dirty Hit
88	Not Now Music Limited
89	Elefant Records
90	Matador
91	DOL
92	Jazz Images
93	Verve Records
94	Universal Music Hong Kong
95	Signature Sinatra
96	Ermitage
97	Craft Recordings
98	CBS – CBS
99	Not Now Music
100	Warner Bros. Records
101	Duck Records
102	Human Sounds Records
103	Sacred Bones Records
104	Asylum Records
105	Jive
106	Hollywood Records
107	KIDinaKORNER
108	Aware Records
109	ADA
110	Ultra Music
111	Sub Pop
112	Peacefrog Records
113	Agenda
114	MoJazz
115	Music World Music
116	MCA Records
117	Epic Associated
118	Gia Dinh Audio
119	Warner Music Vietnam
120	Helium 3
121	Onto Entertainment
122	Rounder Records
123	Fish People
124	Eastworld
125	Universal Music Group
126	Virgin
127	USM Japan
128	Concord Records
129	Walt Disney Records
130	20th Century Masterworks ‎
131	Warner Bros. Record
132	Netflix
133	Web Entertainment
134	Tuff Gong
135	Soul Note
136	Mercury Records
137	UMC
138	Helium
139	Palto Flats
140	We Release Whatever The Fuck We Want Records
141	We Release Jazz
142	88rising
143	Erskine Records
144	Vinyl Lovers
145	DPR
146	Shady Records
147	Universal Republic Records
148	EMI USA
149	Tamla
150	EMI
151	Streamline
152	MPS Records
153	Mercury
154	Panegyric
155	Inner Knot
156	Discipline Global Mobile
157	Because Music
158	Speakers Corner Records
159	Ojah Media Group
160	Glassnote
161	Gentlemen Of The Road
162	New West Records
163	STS Analog
164	Rhino Records
165	Kemosabe Records
166	Warp Records
167	LP Club
168	Third Man Records
169	Krúnk
170	Black Cricket Recording Co.
171	ATO Records
172	Milan
173	Masterworks
174	Sunrise
175	Sunrise Music
176	Relayer Records
177	Friday Music
178	Warner Sunset Records
179	Deutsche Grammophon
180	Endless Happiness
181	Touch And Go
182	4AD
183	Awal Recordings America
184	Inc.
185	Dead Oceans
186	LateNightTales
187	Glacial Pace
188	Pinkflag
189	Roc-A-Fella Records
190	Demon Records
191	Roswell Records
192	Ghostly International
193	Anti
194	Sumerian Records
195	Beggars Arkive
196	Republic Records
197	Caroline International
198	Lirico Entertainment
199	Big Machine Records
200	Hãng :Spinefarm Records
201	Village Roadshow Pictures
202	Bazmark
203	Warner Bros
204	Pictures
205	WaterTower Music
206	Philips
207	Soyuz Music
208	Africa Seven
209	Acrophase Records
210	Return To Analog
211	Warner Music UK
212	Nonesuch
213	Easy Eye Sound
214	Future Classic
215	Argo
216	30th Century Records
217	MBV Records
218	Aftermath/Interscope Records
219	DGC
220	Pax Americana Record Company
221	Groove
222	夕陽音樂產業有限公司
223	Young Turks
224	Mfaces Records - Gia Dinh Audio
225	Jagjaguwar
226	Candlelight Records
227	Spinefarm Records
228	Moon Records
229	Warner Music Japan
230	Traffic Inc.
231	MJJ Productions Inc
232	MJJ Productions
233	Rhino Vinyl
234	Sony BMG Music Entertainment Strategic Marketing Group
235	Infectious Music
236	Records
237	Cherry Lime Records
238	Getting Out Our Dreams
239	Wicked Awesome Records
240	Bayonet Records
241	Beggars Banquet
